,AAL,ABF,ADM,AHT,ANTO,AUTO,AV,AVV,AZN,BA,BARC,BATS,BDEV,BHP,BKG,BLND,BNZL,BP,BRBY,BTA,CCH,CCL,CNA,CPG,CRDA,CRH,DCC,DGE,DLG,EVR,EXPN,FERG,FLTR,FRES,GLEN,GSK,HL,HLMA,HSBA,HSX,IAG,IHG,III,IMB,INF,ITRK,ITV,JD,JE,JMAT,KGF,LAND,LGEN,LLOY,LSE,MCRO,MKS,MNDI,MRO,MRW,NG,NMC,NXT,OCDO,PHNX,PRU,PSN,PSON,RB,RBS,RDSA,RDSB,REL,RIO,RMV,RR,RSA,RTO,SBRY,SDR,SGE,SGRO,SLA,SMDS,SMIN,SN,SPX,SSE,STAN,STJ,SVT,TSCO,TUI,TW,ULVR,UU,VOD,WPP,WTB
1997-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-03-31,,0.145,,,,,,,,,,,,,,0.106,,,,,,,,,,,0.171,,,,,,,,,,,0.033,,,,,0.063,0.171,,,,,,0.13,0.251,0.203,,,,,0.166,,,0.038,0.17,,,,,,,,,0.893,,,,,,,,,0.104,,0.015,,,,0.197,,,,,,0.675,0.069,,,,0.42,,,0.384
1998-06-30,,,,0.046,0.044,,0.629,,,0.287,0.131,,0.112,0.102,0.34,,0.116,,,,,,0.012,,0.007,0.175,,,,,,,,,,,,,0.26,0.047,,,,,,,,,,,,,0.005,0.085,,,,,,,,,,,,0.185,0.118,0.43,,,,,,0.326,,0.072,,0.056,,,,0.148,,0.024,,0.074,0.066,,0.213,0.057,,,,0.063,,,,0.084,
1998-09-30,,0.151,,,,,,,,,,,,,,0.067,,,,,,,,,,,,,,,,1.163,,,,,,,,,,,0.088,0.218,,,,,,0.259,0.148,0.2,,,,,0.056,,,,0.118,,0.1,,,,,,,1.156,,,,,,,,,0.157,,0.015,,,,0.28,,,,,,0.675,0.035,,,,0.409,,,0.415
1998-12-31,,,,0.055,0.015,,-0.25,,,0.097,0.065,,0.08,0.073,0.29,,0.09,,,,,,,,0.011,0.477,,0.185,,,,,,,,,,0.037,0.207,0.062,,,,,,,,,,,,,0.076,0.11,,,,,,,,,,,,,0.133,0.241,,,,,,,,0.1,,0.07,,,,0.177,,0.031,,0.067,0.148,,0.266,0.09,,,,0.068,,,,0.12,
1999-03-31,,0.058,,,,,,,,,,,,,,0.017,,,,,,,,,,,0.243,,,,,,,,,,,,,,,,0.056,0.22,,,,,,0.2,0.251,0.206,,,,,0.068,,,,0.574,,0.24,,,,,,,1.058,,,,,,,,,,,0.021,,,,0.22,,,,,,0.66,0.056,,,,0.45,0.053,,0.218
1999-06-30,0.39,,,0.058,0.016,,0.116,,0.47,0.045,0.104,0.181,0.138,0.098,0.325,,0.129,,,,,,0.04,,0.06,0.327,,0.082,,,,,,,,,,0.042,0.288,0.012,,,,,0.026,,,,,,,,0.048,0.12,,,,,,,,,,,,0.135,0.139,-0.059,,,,,,0.308,,0.082,0.528,0.062,0.157,,,0.204,,-0.017,,,0.153,,0.222,0.066,,,,0.062,,,,0.1,
